league,season,match_id,isResult,home_id,home_team,home_abbr,away_id,away_team,away_abbr,home_goals,away_goals,home_xG,away_xG,datetime,forecast_win,forecast_draw,forecast_loss
EPL,2021/2022,16495,TRUE,229,Wolverhampton Wanderers,WOL,81,West Ham,WHU,1,0,1.31903,0.436331,2021-11-20 15:00:00,0.6132,0.2733,0.1135
EPL,2021/2022,16489,TRUE,87,Liverpool,LIV,83,Arsenal,ARS,4,0,3.97374,0.268025,2021-11-20 17:30:00,0.9941,0.0055,4e-4
EPL,2021/2022,16490,TRUE,88,Manchester City,MCI,72,Everton,EVE,3,0,2.61302,0.266894,2021-11-21 14:00:00,0.9179,0.0691,0.013
EPL,2021/2022,16493,TRUE,82,Tottenham,TOT,245,Leeds,LED,2,1,2.31744,1.46689,2021-11-21 16:30:00,0.5951,0.2303,0.1746
EPL,2021/2022,16496,TRUE,83,Arsenal,ARS,86,Newcastle United,NEW,2,0,2.84493,0.185383,2021-11-27 12:30:00,0.9577,0.0369,0.0054
EPL,2021/2022,16501,TRUE,78,Crystal Palace,CRY,71,Aston Villa,AVL,1,2,0.962129,0.454305,2021-11-27 15:00:00,0.5015,0.3502,0.1483
EPL,2021/2022,16503,TRUE,87,Liverpool,LIV,74,Southampton,SOU,4,0,3.07278,0.966132,2021-11-27 15:00:00,0.8606,0.101,0.0384
EPL,2021/2022,16505,TRUE,79,Norwich,NOR,229,Wolverhampton Wanderers,WOL,0,0,1.4047,0.297157,2021-11-27 15:00:00,0.705,0.2329,0.0621
EPL,2021/2022,16498,TRUE,220,Brighton,BRI,245,Leeds,LED,0,0,1.90498,0.864829,2021-11-27 17:30:00,0.6441,0.224,0.1319
EPL,2021/2022,16497,TRUE,244,Brentford,BRE,72,Everton,EVE,1,0,1.19813,0.968075,2021-11-28 14:00:00,0.4215,0.329,0.2495
EPL,2021/2022,16502,TRUE,75,Leicester,LEI,90,Watford,WAT,4,2,2.16027,2.38383,2021-11-28 14:00:00,0.332,0.2403,0.4277
EPL,2021/2022,16504,TRUE,88,Manchester City,MCI,81,West Ham,WHU,2,1,2.72187,0.171763,2021-11-28 14:00:00,0.9519,0.0432,0.0049
EPL,2021/2022,16500,TRUE,80,Chelsea,CHE,89,Manchester United,MUN,1,1,2.34525,0.563367,2021-11-28 16:30:00,0.8372,0.1357,0.0271
EPL,2021/2022,16513,TRUE,86,Newcastle United,NEW,79,Norwich,NOR,1,1,1.15636,1.51084,2021-11-30 19:30:00,0.2596,0.3006,0.4398
EPL,2021/2022,16508,TRUE,245,Leeds,LED,78,Crystal Palace,CRY,1,0,1.9818,0.707328,2021-11-30 20:15:00,0.7505,0.1819,0.0676
EPL,2021/2022,16509,TRUE,90,Watford,WAT,80,Chelsea,CHE,1,2,0.990877,0.908574,2021-12-01 19:30:00,0.3546,0.3333,0.3121
